"coef_conv","se_conv","pv_conv","coef_bc","se_bc","pv_bc","coef_rob","se_rob","pv_rob","bandwidth","controls","h_opt","sample","check_type","cutoff","polynomial"
0.00480846257545386,0.159215337231946,0.975906750131714,-0.0849529286880903,0.159215337231946,0.593637324906337,-0.0849529286880903,0.27209407005536,0.754874120720707,407,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
0.0284389037843473,0.130819742342343,0.827904423732788,-0.0447832014971089,0.130819742342343,0.7321044069925,-0.0447832014971089,0.224951849618216,0.842200905488971,528,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
0.0272601918094231,0.10956501745946,0.803512557774332,-0.00388357671516937,0.10956501745946,0.971724577321428,-0.00388357671516937,0.197941614494881,0.984346661393495,650,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
0.0125560970469827,0.0980453249209735,0.89809815933021,0.0220300217601479,0.0980453249209735,0.822218717066258,0.0220300217601479,0.179039314625362,0.902070891995935,771,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0107153619735098,0.0880437128173375,0.903132636114181,0.0496261038268692,0.0880437128173375,0.57299030208273,0.0496261038268692,0.153789289697169,0.746930824359718,893,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.028908286949692,0.080576122790229,0.719767237171327,0.0501321681229161,0.080576122790229,0.53382909638541,0.0501321681229161,0.137774502790652,0.715954221649215,1014,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0330396809588265,0.0746101282523273,0.65788794730272,0.0278137821812653,0.0746101282523273,0.70930601834883,0.0278137821812653,0.12659308466048,0.826096920411743,1135,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0329576295660692,0.0699574067864701,0.637562228686342,0.00869912126821137,0.0699574067864701,0.90103909124026,0.00869912126821137,0.116902243179045,0.940681256907614,1257,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0346175239526657,0.0662208212152606,0.601142041093789,-0.00290279444168662,0.0662208212152606,0.965035870820387,-0.00290279444168662,0.108523967618331,0.978660762480288,1378,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0349779336371557,0.0632424284122056,0.580210673787117,-0.0117672541171714,0.0632424284122056,0.852393147789002,-0.0117672541171714,0.10211714652647,0.90826052827312,1500,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0331822178891844,0.0608952602519432,0.585817884748244,-0.0236107081080548,0.0608952602519432,0.698218418675109,-0.0236107081080548,0.0968365053243478,0.807369978966735,1621,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0293737315219837,0.0590990513411018,0.619171117208059,-0.0313752819520844,0.0590990513411018,0.595492819898785,-0.0313752819520844,0.0924735125878669,0.734391732440429,1742,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0254825291071916,0.0575154580591421,0.657725728770891,-0.0378359221840544,0.0575154580591421,0.510641470706065,-0.0378359221840544,0.0883283529054273,0.668392429729805,1864,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0233378715303335,0.0561941557170587,0.677916587425043,-0.0403132877523446,0.0561941557170587,0.473131705664269,-0.0403132877523446,0.0848439675687906,0.634682779353998,1985,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0200982863124529,0.0550436805079382,0.715011828614055,-0.0442250275628391,0.0550436805079382,0.421712770085541,-0.0442250275628391,0.0818924884439826,0.589171063260684,2107,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
-0.0175075817077835,0.0539231388017836,0.745425841723078,-0.0440250945201206,0.0539231388017836,0.414247603574335,-0.0440250945201206,0.0788775770306011,0.576745640115137,2228,FALSE,1356.85811512677,"Independents","bandwidth",NA,NA
