"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
0.060662010267679,0.0498589639304427,0.223728998995916,0.0496172280193528,0.0498589639304427,0.319662534738883,0.0496172280193528,0.0781091246728091,0.525278680794962,322,180,142,4410,372,822,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0594839923671433,0.0463602583331991,0.199463505043936,0.0521438911575655,0.0463602583331991,0.260693244864687,0.0521438911575655,0.0728072493287858,0.473873466599781,356,202,154,4410,372,934,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.057913558101047,0.0431805539173651,0.179857035900236,0.0517124342076031,0.0431805539173651,0.231078162611232,0.0517124342076031,0.0678651850329318,0.446067363265149,400,235,165,4410,372,1046,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0506115306594393,0.040337714292161,0.209589481500139,0.0606993504070866,0.040337714292161,0.132380872425346,0.0606993504070866,0.0637557182579408,0.341065907060861,438,259,179,4410,372,1158,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0444927744714352,0.037962046729071,0.241183776103587,0.0629117789744831,0.037962046729071,0.0974733226967185,0.0629117789744831,0.0605319185939126,0.298657892240501,481,290,191,4410,372,1269,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0409761636153929,0.0362362244322724,0.258136479724377,0.061423012711888,0.0362362244322724,0.0900617458855107,0.061423012711888,0.0581470996536409,0.290813649924232,514,313,201,4410,372,1381,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0400366051115286,0.0346428599746545,0.247805638146515,0.0555063799399974,0.0346428599746545,0.10910124639907,0.0555063799399974,0.0553825225461635,0.316229432112117,558,338,220,4410,372,1493,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0415550365185161,0.0331673356321722,0.210245594856794,0.0487117000492319,0.0331673356321722,0.141923715503625,0.0487117000492319,0.0527542201968404,0.355814067079846,602,373,229,4410,372,1605,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0421173795464423,0.0319438391527005,0.187342319401175,0.0466103377475879,0.0319438391527005,0.144528264768139,0.0466103377475879,0.0506135311555781,0.35709916301966,639,398,241,4410,372,1717,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0408814354373797,0.0308798640749277,0.185540739526685,0.0478865404739207,0.0308798640749277,0.120964780442954,0.0478865404739207,0.0486977435107825,0.325439105455594,678,426,252,4410,372,1828,1249.60070850043,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
