panel_data,pre_or_post,age,party,education_summary,education,sex,income,race,lib_or_con,duty_or_choice,voted2012,voted2016,voted_for_2012,voted_for_2016,expectations_2020,feeling_dems,feeling_reps,free_press,checks_and_balances,rule_of_law,agree_on_facts,unitary_executive,journalist_access,media_undermined_concern,media_trust,govt_trust,govt_capture,govt_corruption,foreign_help,govt_principled,urban_unrest,party_summary,expect_inparty_win,day_of_birth,date_cutoff,date_2012_election,days_from_cutoff,age_2012_election,treatment,liberal_index,race_Black,race_Hispanic,race_Asian,race_Native,race_Other,race_NA
3,3,41,4,1,1,1,8,Hispanic,99,7,0,0,NA,NA,3,50,50,-0.5605616145111023,-0.4082399484297345,0.573083703561271,-0.07731522541165571,0.3034055714462606,-0.5505490308078672,-1.8147382485784667,4,2,1,2,3,2,7,Independent,NA,2,1994-11-06,2012-11-06,-5667,33.516769336071185,0,0.6764535603484281,0,1,0,0,0,0
3,3,42,5,3,3,0,11,White,7,1,1,NA,2,2,3,0,25,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,-0.5505490308078672,-1.8147382485784667,1,2,1,2,5,2,1,Independent,NA,1,1994-11-06,2012-11-06,-5972,34.351813826146476,0,0.8564262268967858,0,0,0,0,0,0
3,3,37,4,3,3,0,1,Black,99,1,1,NA,1,1,3,60,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,-1.333830033884746,-1.063772703594862,1.1222562270427896,5,1,1,2,5,1,NA,Independent,NA,21,1994-11-06,2012-11-06,-4064,29.127994524298426,0,0.8900101278050307,1,0,0,0,0,0
4,1,34,7,4,6,1,NA,White,6,2,0,1,NA,2,3,15,100,-1.3147717867624034,-0.4082399484297345,0.573083703561271,0.965379884379451,-0.7880848321077437,-0.5505490308078672,-1.0804896296731525,1,2,1,3,5,2,1,Republican,1,4,1994-11-06,2012-11-06,-3077,26.425735797399042,0,0.6731885081656137,0,0,0,0,0,0
4,3,73,7,3,4,0,4,White,6,1,1,1,1,2,3,30,70,-0.5605616145111023,0.7207302104367574,0.573083703561271,0.965379884379451,0.3034055714462606,0.4758983147661229,-0.34624101076783853,2,4,2,4,3,2,4,Republican,1,15,1994-11-06,2012-11-06,-17372,65.56331279945243,0,0.8515737046468982,0,0,0,0,0,0
3,3,22,1,2,2,1,18,White,3,6,0,0,NA,NA,1,70,40,0.9478587299914999,0.7207302104367574,-0.7622234905552797,-0.07731522541165571,0.8491507732232628,0.9891219875531179,-0.34624101076783853,3,3,1,3,5,1,5,Democrat,1,13,1994-11-06,2012-11-06,1254,14.568104038329912,1,0.8656190122468747,0,0,0,0,0,0
3,3,80,4,2,2,0,1,White,4,1,1,1,1,1,NA,100,0,0.9478587299914999,-1.5372101072962265,-0.7622234905552797,-1.1200103352027624,0.8491507732232628,0.4758983147661229,0.3880076081374755,3,1,1,2,3,2,7,Independent,NA,9,1994-11-06,2012-11-06,-19843,72.32854209445586,0,0.7162788207595547,0,0,0,0,0,0
3,3,73,2,NA,NA,1,18,White,1,7,1,NA,1,1,1,60,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,3,2,1,2,5,1,7,Democrat,1,3,1994-11-06,2012-11-06,-17384,65.59616700889802,0,1,0,0,0,0,0,0
4,3,78,1,4,6,1,14,White,2,1,1,1,1,1,1,70,10,0.9478587299914999,-0.4082399484297345,-0.7622234905552797,-0.07731522541165571,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,2,1,3,5,1,6,Democrat,1,13,1994-11-06,2012-11-06,-19200,70.5681040383299,0,0.8517106157252933,0,0,0,0,0,0
4,3,27,1,3,5,0,8,White,3,2,0,1,NA,1,3,65,15,0.9478587299914999,-0.4082399484297345,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.9891219875531179,0.3880076081374755,1,2,1,2,4,2,7,Democrat,0,26,1994-11-06,2012-11-06,-406,19.1129363449692,0,0.8797478292619737,0,0,0,0,0,0
4,3,NA,1,4,6,1,NA,White,2,1,1,NA,1,1,1,77,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,3,1,NA,5,2,7,Democrat,1,4,1994-11-06,2012-11-06,NA,NA,NA,1,0,0,0,0,0,0
4,3,80,7,3,3,1,4,White,6,7,0,1,NA,2,3,0,60,-0.5605616145111023,0.7207302104367574,0.573083703561271,0.965379884379451,-1.8795752356617481,-0.5505490308078672,-0.34624101076783853,3,3,2,4,5,2,NA,Republican,1,17,1994-11-06,2012-11-06,-19986,72.72005475701575,0,0.7719430809073536,0,0,0,0,0,0
4,1,49,5,2,2,0,5,White,5,4,1,1,1,2,3,0,70,-2.0689819590137044,-3.7951504250292105,-3.4328378787883813,-1.1200103352027624,-0.7880848321077437,-0.5505490308078672,-1.8147382485784667,1,3,1,1,3,2,NA,Independent,NA,20,1994-11-06,2012-11-06,-8357,40.88158795345654,0,0.20067354059070058,0,0,0,0,0,0
4,3,68,7,2,2,1,15,Hispanic,6,1,1,1,2,2,3,40,85,0.1936485577401988,0.7207302104367574,0.573083703561271,-0.07731522541165571,0.8491507732232628,-0.5505490308078672,-1.8147382485784667,2,3,1,1,1,2,NA,Republican,1,5,1994-11-06,2012-11-06,-15311,59.92060232717317,0,0.7876529394482386,0,1,0,0,0,0
4,3,60,4,3,5,0,17,Black,5,7,0,1,NA,2,1,85,30,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,-1.5769963763818573,1.1222562270427896,4,3,1,4,3,2,4,Independent,NA,19,1994-11-06,2012-11-06,-12619,52.550308008213555,0,0.9241018788614381,1,0,0,0,0,0
4,3,65,1,1,1,0,1,Black,99,1,1,0,1,NA,NA,85,60,-2.0689819590137044,-3.7951504250292105,0.573083703561271,0.965379884379451,-0.7880848321077437,-0.5505490308078672,-1.8147382485784667,1,3,1,3,2,2,6,Democrat,NA,23,1994-11-06,2012-11-06,-14501,57.70294318959617,0,0.42394655431857375,1,0,0,0,0,0
3,3,21,4,4,6,0,22,White,4,4,0,NA,NA,NA,3,NA,40,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,-0.34624101076783853,3,1,1,2,4,1,NA,Independent,NA,28,1994-11-06,2012-11-06,1787,13.1088295687885,1,0.9509825497899614,0,0,0,0,0,0
4,3,21,1,NA,NA,0,14,Black,3,1,0,1,NA,1,1,100,0,0.9478587299914999,-0.4082399484297345,-0.7622234905552797,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,3,1,2,5,1,7,Democrat,1,13,1994-11-06,2012-11-06,1680,13.401779603011637,1,0.8845282146266801,1,0,0,0,0,0
3,3,73,7,3,4,0,2,White,99,6,1,NA,2,NA,3,15,40,-2.0689819590137044,0.7207302104367574,0.573083703561271,0.965379884379451,0.3034055714462606,0.4758983147661229,-1.8147382485784667,1,1,1,2,5,1,NA,Republican,1,17,1994-11-06,2012-11-06,-17340,65.4757015742642,0,0.7306448773425387,0,0,0,0,0,0
4,3,66,1,3,3,0,2,White,1,7,1,1,1,1,1,100,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,5,2,1,3,5,1,7,Democrat,1,17,1994-11-06,2012-11-06,-14599,57.97125256673511,0,1,0,0,0,0,0,0
3,3,35,NA,3,3,0,11,White,99,1,0,1,NA,1,3,40,20,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,3,2,1,2,5,1,7,NA,NA,16,1994-11-06,2012-11-06,-3461,27.477070499657767,0,1,0,0,0,0,0,0
3,3,34,7,3,3,0,11,Hispanic,99,7,1,NA,1,1,3,0,70,-0.5605616145111023,-0.4082399484297345,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.9891219875531179,-0.34624101076783853,1,3,1,3,2,1,NA,Republican,1,22,1994-11-06,2012-11-06,-2967,26.12457221081451,0,0.7833277270626335,0,1,0,0,0,0
3,3,60,1,3,4,1,7,Black,99,1,1,NA,1,1,1,95,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,4,1,1,2,5,2,7,Democrat,1,26,1994-11-06,2012-11-06,-12459,52.11225188227242,0,1,1,0,0,0,0,0
4,3,43,NA,NA,NA,1,5,Hispanic,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,26,1994-11-06,2012-11-06,-6342,35.36481861738535,0,NA,0,1,0,0,0,0
3,3,80,7,5,7,0,17,White,6,1,1,NA,2,NA,1,0,60,0.1936485577401988,0.7207302104367574,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.4758983147661229,-1.8147382485784667,2,2,1,4,3,1,1,Republican,0,27,1994-11-06,2012-11-06,-20007,72.77754962354551,0,0.8180121879036633,0,0,0,0,0,0
3,3,28,1,3,3,0,2,White,2,3,0,NA,NA,1,1,85,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.3034055714462606,0.4758983147661229,1.1222562270427896,2,2,1,3,5,1,6,Democrat,1,8,1994-11-06,2012-11-06,-698,19.912388774811774,0,0.9725025319512577,0,0,0,0,0,0
3,3,26,1,4,6,1,15,White,1,2,1,1,1,1,1,70,0,0.9478587299914999,-0.4082399484297345,0.573083703561271,-0.07731522541165571,0.3034055714462606,0.9891219875531179,0.3880076081374755,4,3,1,4,5,2,7,Democrat,1,14,1994-11-06,2012-11-06,-145,18.39835728952772,0,0.8674299854409439,0,0,0,0,0,0
3,3,23,7,2,2,1,1,White,6,5,0,1,NA,2,3,0,100,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.4758983147661229,-0.34624101076783853,3,3,1,2,4,2,1,Republican,1,11,1994-11-06,2012-11-06,1009,15.238877481177276,1,0.935802925562249,0,0,0,0,0,0
3,3,69,6,NA,NA,0,1,White,6,1,1,1,2,2,3,0,70,-2.0689819590137044,0.7207302104367574,-0.7622234905552797,-1.1200103352027624,0.8491507732232628,-0.5505490308078672,-0.34624101076783853,1,2,1,3,3,1,4,Republican,1,13,1994-11-06,2012-11-06,-15883,61.48665297741273,0,0.643439786473709,0,0,0,0,0,0
4,3,63,4,2,2,0,3,White,99,2,1,NA,1,1,1,50,0,-0.5605616145111023,-1.5372101072962265,-2.0975306846718307,-1.1200103352027624,0.8491507732232628,0.9891219875531179,1.1222562270427896,3,1,1,2,3,2,4,Independent,NA,11,1994-11-06,2012-11-06,-13813,55.81930184804928,0,0.6315098543562655,0,0,0,0,0,0
4,3,48,7,5,7,0,19,White,6,2,0,1,NA,2,3,0,70,-0.5605616145111023,0.7207302104367574,0.573083703561271,0.965379884379451,-1.8795752356617481,-0.5505490308078672,-1.8147382485784667,1,2,1,3,1,2,1,Republican,1,22,1994-11-06,2012-11-06,-8172,40.375085557837096,0,0.7229256306973152,0,0,0,0,0,0
4,3,55,2,5,8,1,22,White,2,1,1,NA,1,1,3,45,15,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,0.3880076081374755,2,2,1,4,5,1,7,Democrat,0,10,1994-11-06,2012-11-06,-10680,47.24161533196441,0,0.9754912748949807,0,0,0,0,0,0
4,3,26,NA,4,6,1,17,White,4,2,0,1,NA,1,1,70,40,0.9478587299914999,-0.4082399484297345,0.573083703561271,0.965379884379451,-1.8795752356617481,0.9891219875531179,1.1222562270427896,3,3,1,2,5,1,7,NA,NA,13,1994-11-06,2012-11-06,-146,18.401095140314855,0,0.8754849341632301,0,0,0,0,0,0
