"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
-0.158355251046743,0.0703822098983002,0.0244532038103208,-0.184173101924955,0.0703822098983002,0.00887696535049652,-0.184173101924955,0.0989056753068477,0.0625877935272348,163,90,73,4483,385,402,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.141155995221682,0.0675705618056359,0.0367062689533878,-0.191007547625614,0.0675705618056359,0.0047017673208012,-0.191007547625614,0.0969202522625315,0.0487501635689566,186,104,82,4483,385,457,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.120873439062321,0.0649027246382217,0.0625497572687521,-0.197350088439363,0.0649027246382217,0.0023602436341738,-0.197350088439363,0.0938591015000751,0.035498940151891,205,114,91,4483,385,512,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.104121166279159,0.0617552890922508,0.0917903449077985,-0.190600941748577,0.0617552890922508,0.00202602507376964,-0.190600941748577,0.0901172602316596,0.0344271703029594,229,130,99,4483,385,566,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0878697926510215,0.0587376688602276,0.13466146350034,-0.187592441734922,0.0587376688602276,0.00140445862883487,-0.187592441734922,0.0865838251867441,0.030265432553904,251,146,105,4483,385,621,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0739120312079099,0.0555628359726006,0.18343847210917,-0.177684429628892,0.0555628359726006,0.00138431960764194,-0.177684429628892,0.0832423457269962,0.0327982955447396,273,156,117,4483,385,676,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0598884327468591,0.0525281227958979,0.254235760440513,-0.167595355924372,0.0525281227958979,0.00141985860772108,-0.167595355924372,0.0804467625865933,0.0372231898720976,296,166,130,4483,385,731,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0500991656494671,0.0503595486135052,0.31981918550652,-0.158821049389483,0.0503595486135052,0.00161191237821459,-0.158821049389483,0.0784693032458194,0.0429712274681475,309,175,134,4483,385,785,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0440426493523486,0.0484995385630261,0.363823011716769,-0.145709118733281,0.0484995385630261,0.00266157437053293,-0.145709118733281,0.0762167166048165,0.0559052190591015,333,192,141,4483,385,840,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0399617851034343,0.0467267514364132,0.392427793738085,-0.130354724725346,0.0467267514364132,0.00527530436023065,-0.130354724725346,0.0736658576421454,0.0768037043554764,346,198,148,4483,385,895,611.560262709083,"With Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
